name_id,date,minimum,mean, maximum
4,7/1/2021,2.5,3.3,2.5
6,7/1/2021,1.5,24.6,1.5
10,7/1/2021,6.4,104,6.4
11,7/1/2021,32.1,34.2,32.1
12,7/1/2021,6.5,9,6.5
18,7/1/2021,59.9,61.1,59.9
20,7/1/2021,0,128.8,0
21,7/1/2021,80.5,118.1,80.5
24,7/1/2021,16.8,18.3,16.8
26,7/1/2021,6.9,23.7,6.9
35,7/1/2021,18.4,36.8,18.4
36,7/1/2021,42,59.9,50
37,7/1/2021,15.1,70,15.1
38,7/1/2021,14.6,22.3,14.6
40,7/1/2021,28.4,43,28.4
45,7/1/2021,2.1,4.5,2.1
46,7/1/2021,0.2,12.5,0.2
48,7/1/2021,18.5,37,18.5
51,7/1/2021,32,72.6,32
53,7/1/2021,7.5,135.1,7.5
55,7/1/2021,0.4,1.3,0.4
56,7/1/2021,5.7,13,8
59,7/1/2021,97.3,98.5,97.3
61,7/1/2021,18.4,19.6,18.4
62,7/1/2021,27.3,48,27.3
64,7/1/2021,25.3,38.1,25.3
65,7/1/2021,71.2,73.3,75.1
66,7/1/2021,10.7,12.7,10.7
67,7/1/2021,8,9.7,8
68,7/1/2021,47.8,49.6,47.8
69,7/1/2021,25.1,149.4,25.1
70,7/1/2021,10.4,24.5,35.8
72,7/1/2021,22.1,89.2,22.1
74,7/1/2021,1,6.6,11.4
76,7/1/2021,59,60.7,59
77,7/1/2021,1.2,5.7,1.2
78,7/1/2021,18.5,22.2,24.5
80,7/1/2021,38.5,65.4,38.5
81,7/1/2021,31.4,69.6,78.5
82,7/1/2021,44.1,66,85.8
83,7/1/2021,2.9,11.3,10.5
84,7/1/2021,25.7,54.3,89.1
85,7/1/2021,13.5,18.4,21.7
86,7/1/2021,7.2,35.3,86.1
87,7/1/2021,0.8,16.8,36.5
88,7/1/2021,4.3,59.9,50.6
89,7/1/2021,109.9,110.9,109.9
91,7/1/2021,26.7,34.7,38.9
92,7/1/2021,2.5,19.8,27.6
93,7/1/2021,9.5,51.6,73.5
94,7/1/2021,4.6,111.4,32.9
95,7/1/2021,118,119.1,118
96,7/1/2021,25.8,46.4,25.8
98,7/1/2021,1.9,3,1.9
100,7/1/2021,2.6,12.1,2.6
101,7/1/2021,4.5,9.4,4.5
102,7/1/2021,3.5,4.3,3.5
104,7/1/2021,10,26.8,10
109,7/1/2021,2.6,31.1,6.6
112,7/1/2021,12.6,20.2,12.6
113,7/1/2021,11.7,68,11.7
114,7/1/2021,3,6.6,3
115,7/1/2021,0.7,3.4,3.2
116,7/1/2021,12.4,20.7,19.2
117,7/1/2021,2.2,24.1,20
122,7/1/2021,24.2,31.2,24.2
126,7/1/2021,34.6,56.2,34.6
128,7/1/2021,4.1,8.8,8.9
130,7/1/2021,2.5,36.1,3.1
