name_id,date,minimum,mean,maximum
0,2021-07-01,0.0,0.8,2.4
1,2021-07-01,11.2,23.1,47.4
2,2021-07-01,34.6,97.6,203.4
3,2021-07-01,0.0,2.1,11.0
4,2021-07-01,0.1,2.5,10.3
5,2021-07-01,0.0,1.2,4.0
6,2021-07-01,66.1,128.8,180.9
7,2021-07-01,19.4,37.6,53.5
8,2021-07-01,0.5,1.5,6.3
9,2021-07-01,11.4,16.8,22.9
10,2021-07-01,4.2,18.4,29.7
11,2021-07-01,0.0,13.9,51.5
12,2021-07-01,23.3,54.9,108.2
13,2021-07-01,3.7,7.7,14.6
14,2021-07-01,2.0,14.6,49.1
15,2021-07-01,0.8,2.4,4.3
16,2021-07-01,7.5,12.3,25.7
17,2021-07-01,5.0,18.5,36.1
18,2021-07-01,3.7,40.6,84.0
19,2021-07-01,100.3,127.6,142.4
20,2021-07-01,0.0,0.9,4.4
21,2021-07-01,0.1,6.1,33.7
22,2021-07-01,0.0,1.2,6.9
23,2021-07-01,0.6,1.2,2.5
24,2021-07-01,8.2,20.7,39.5
25,2021-07-01,9.5,12.8,16.3
26,2021-07-01,0.0,0.1,0.7
27,2021-07-01,0.5,2.0,4.5
28,2021-07-01,0.4,1.7,4.6
29,2021-07-01,1.1,1.8,3.6
30,2021-07-01,93.3,124.3,156.5
31,2021-07-01,0.1,1.4,3.6
32,2021-07-01,9.8,67.1,146.7
33,2021-07-01,0.0,0.4,1.4
34,2021-07-01,0.0,1.7,5.0
35,2021-07-01,0.0,4.5,18.1
36,2021-07-01,0.0,0.7,4.0
37,2021-07-01,7.5,26.9,57.7
38,2021-07-01,7.5,17.6,34.5
39,2021-07-01,0.6,1.8,3.5
40,2021-07-01,0.1,4.4,17.3
41,2021-07-01,0.2,1.5,2.5
42,2021-07-01,0.0,0.8,3.1
43,2021-07-01,0.0,0.6,2.9
44,2021-07-01,1.0,3.9,8.5
45,2021-07-01,8.2,32.5,63.2
46,2021-07-01,0.1,1.0,5.0
47,2021-07-01,0.6,1.9,8.6
48,2021-07-01,2.4,8.4,46.4
49,2021-07-01,3.3,11.5,28.2
50,2021-07-01,44.7,95.4,143.7
51,2021-07-01,0.0,1.1,3.8
52,2021-07-01,13.1,20.6,28.6
53,2021-07-01,0.6,1.1,2.6
54,2021-07-01,4.5,9.5,22.5
55,2021-07-01,0.3,4.9,24.3
56,2021-07-01,0.0,0.8,3.8
57,2021-07-01,7.6,16.8,47.6
58,2021-07-01,17.1,26.5,52.7
59,2021-07-01,1.7,7.6,17.0
60,2021-07-01,25.0,56.3,105.0
61,2021-07-01,0.9,3.6,11.8
62,2021-07-01,0.0,1.4,9.7
63,2021-07-01,0.1,4.9,26.2
64,2021-07-01,6.5,13.0,21.9
65,2021-07-01,1.8,7.0,17.5
66,2021-07-01,1.7,21.6,46.7
67,2021-07-01,0.0,2.3,10.6
68,2021-07-01,6.0,33.3,64.6
