Date,Streamflow
2001-01-01,0.60
2001-01-02,2.70
2001-01-03,4.00
2001-01-04,2.80
2001-01-05,2.00
2001-01-06,1.20
2001-01-07,0.80
2001-01-08,0.60
2001-01-09,0.60
2001-01-10,0.60
2001-01-11,0.60
2001-01-12,0.60
2001-01-13,0.50
2001-01-14,0.50
2001-01-15,0.50
2001-01-16,0.50
2001-01-17,0.50
2001-01-18,0.50
2001-01-19,0.50
2001-01-20,0.50
2001-01-21,0.50
2001-01-22,0.50
2001-01-23,0.50
2001-01-24,0.50
2001-01-25,0.50
2001-01-26,0.50
2001-01-27,0.50
2001-01-28,0.40
2001-01-29,0.60
2001-01-30,3.50
2001-01-31,6.60
2001-02-01,7.30
2001-02-02,6.30
2001-02-03,3.90
2001-02-04,2.30
2001-02-05,1.30
2001-02-06,1.00
2001-02-07,0.90
2001-02-08,0.90
2001-02-09,0.90
2001-02-10,0.80
2001-02-11,0.70
2001-02-12,0.60
2001-02-13,0.60
2001-02-14,0.60
2001-02-15,0.60
2001-02-16,0.60
2001-02-17,0.60
2001-02-18,0.60
2001-02-19,0.60
2001-02-20,0.60
2001-02-21,0.60
2001-02-22,0.60
2001-02-23,0.60
2001-02-24,0.70
2001-02-25,2.40
2001-02-26,4.80
2001-02-27,4.60
2001-02-28,3.10
2001-03-01,2.00
2001-03-02,1.20
2001-03-03,0.90
2001-03-04,0.80
2001-03-05,0.80
2001-03-06,0.90
2001-03-07,1.00
2001-03-08,0.80
2001-03-09,0.70
2001-03-10,0.70
2001-03-11,2.30
2001-03-12,3.10
2001-03-13,2.10
2001-03-14,1.60
2001-03-15,1.10
2001-03-16,0.80
2001-03-17,0.70
2001-03-18,0.70
2001-03-19,0.70
2001-03-20,0.70
2001-03-21,0.70
2001-03-22,0.80
2001-03-23,3.70
2001-03-24,6.10
2001-03-25,5.80
2001-03-26,5.80
2001-03-27,4.60
2001-03-28,2.90
2001-03-29,1.90
2001-03-30,1.80
2001-03-31,9.30
2001-04-01,13.90
2001-04-02,9.60
2001-04-03,6.60
2001-04-04,4.00
2001-04-05,2.60
2001-04-06,2.10
2001-04-07,2.10
2001-04-08,2.20
2001-04-09,2.20
2001-04-10,2.20
2001-04-11,1.80
2001-04-12,1.90
2001-04-13,4.80
2001-04-14,6.30
2001-04-15,4.60
2001-04-16,4.40
2001-04-17,21.70
2001-04-18,31.50
2001-04-19,21.20
2001-04-20,15.70
2001-04-21,10.40
2001-04-22,7.30
2001-04-23,6.10
2001-04-24,5.70
2001-04-25,5.50
2001-04-26,5.30
2001-04-27,5.10
2001-04-28,4.10
2001-04-29,3.80
2001-04-30,3.60
2001-05-01,3.40
2001-05-02,3.20
2001-05-03,3.30
2001-05-04,3.30
2001-05-05,3.00
2001-05-06,2.70
2001-05-07,3.70
2001-05-08,4.20
2001-05-09,3.40
2001-05-10,2.90
2001-05-11,2.60
2001-05-12,2.40
2001-05-13,2.10
