Date,Streamflow
2013-05-16,6.41
2013-06-16,3.31
2013-08-16,5.72
2013-10-16,2.34
2013-11-16,9.32
2013-12-16,4.78
2014-01-16,0.00
2014-02-16,1.25
2014-03-16,3.05
2014-04-16,2.55
2014-05-16,8.20
2014-06-16,3.06
2014-07-16,1.97
2014-08-16,11.77
2014-09-16,5.71
2014-10-16,7.43
2014-11-16,0.00
2014-12-16,6.72
2015-01-16,11.44
2015-02-16,10.77
2015-03-16,11.01
2015-04-16,8.39
2015-05-16,15.71
2015-07-16,0.00
2015-08-16,1.08
2015-09-16,8.41
2015-10-16,14.22
2015-12-16,9.97
2016-01-16,0.00
2016-02-16,9.34
2016-03-16,13.57
2016-04-16,6.58
2016-05-16,8.61
2016-06-16,10.91
2016-07-16,4.08
2016-08-16,1.69
2016-09-16,6.64
2016-10-16,5.27
2016-11-16,3.80
2016-12-16,6.59
2017-01-16,1.36
2017-02-16,1.94
2017-03-16,4.57
2017-04-16,3.12
2017-05-16,6.05
2017-06-16,7.82
2017-07-16,3.60
2017-08-16,7.33
2017-09-16,16.60
2017-12-16,0.00
2018-02-16,14.78
2018-03-16,10.15
2018-04-16,5.14
2018-05-16,13.22
2018-06-16,1.77
2018-07-16,11.41
2018-10-16,6.40
2018-11-16,0.00
2018-12-16,3.98
2019-01-16,5.62
2019-02-16,11.87
2019-03-16,14.63
2019-04-16,4.72
2019-05-16,3.35
2019-06-16,5.32
2019-09-16,6.85
2019-10-16,2.93
2019-11-16,0.00
2019-12-16,0.00
2020-01-16,17.66
2020-02-16,10.21
2020-03-16,9.20
2020-04-16,4.61
2020-05-16,9.21
2020-06-16,9.76
2020-07-16,3.36
2020-08-16,4.42
2020-09-16,5.50
2020-10-16,14.58
2020-12-16,17.01
2021-01-16,0.94
2021-02-16,0.47
2021-03-16,8.43
2021-04-16,14.64
2021-05-16,11.52
2021-06-16,6.60
2021-07-16,1.29
2021-08-16,14.11
2021-09-16,14.65
2021-10-16,7.93
2021-12-16,5.40
