Date,NDWI
2013-04-16,2.634
2013-05-16,2.108
2013-06-16,1.510
2013-07-16,1.588
2013-08-16,2.605
2013-09-16,3.623
2013-10-16,4.450
2013-11-16,4.586
2013-12-16,4.723
2014-01-16,4.748
2014-02-16,4.638
2014-03-16,4.385
2014-04-16,4.250
2014-05-16,3.988
2014-06-16,1.510
2014-07-16,0.002
2014-08-16,2.267
2014-09-16,2.625
2014-10-16,4.204
2014-11-16,4.568
2014-12-16,4.637
2015-01-16,4.548
2015-02-16,4.598
2015-03-16,4.595
2015-04-16,3.476
2015-05-16,3.729
2015-06-16,3.783
2015-07-16,1.892
2015-08-16,0.000
2015-09-16,2.727
2015-10-16,2.440
2015-11-16,2.783
2015-12-16,2.772
2016-01-16,2.771
2016-02-16,2.712
2016-03-16,2.644
2016-04-16,2.372
2016-05-16,2.213
2016-06-16,1.796
2016-07-16,0.898
2016-08-16,0.000
2016-09-16,1.033
2016-10-16,3.394
2016-11-16,3.547
2016-12-16,3.568
2017-01-16,3.549
2017-02-16,3.419
2017-03-16,3.346
2017-04-16,3.213
2017-05-16,2.989
2017-06-16,2.787
2017-07-16,2.043
2017-08-16,1.299
2017-09-16,2.716
2017-10-16,2.983
2017-11-16,3.099
2017-12-16,3.163
2018-01-16,3.120
2018-02-16,3.169
2018-03-16,3.022
2018-04-16,2.837
2018-05-16,2.237
2018-06-16,2.850
2018-07-16,1.923
2018-08-16,0.995
2018-09-16,2.540
2018-10-16,2.534
2018-11-16,2.458
2018-12-16,2.432
2019-01-16,2.397
2019-02-16,2.339
2019-03-16,2.282
2019-04-16,2.213
2019-05-16,1.926
2019-06-16,1.527
2019-07-16,0.002
2019-08-16,2.267
2019-09-16,2.576
2019-10-16,4.296
2019-11-16,4.623
2019-12-16,4.771
2020-01-16,4.085
2020-02-16,4.713
2020-03-16,4.675
2020-04-16,4.588
2020-05-16,4.215
2020-06-16,1.510
2020-07-16,0.002
2020-08-16,2.267
2020-09-16,4.263
2020-10-16,3.909
2020-11-16,4.123
2020-12-16,4.336
2021-01-16,4.293
2021-02-16,4.305
2021-03-16,4.137
2021-04-16,3.965
2021-05-16,3.412
2021-06-16,1.542
2021-07-16,2.650
2021-08-16,0.005
2021-09-16,4.117
2021-10-16,4.467
2021-11-16,4.434
2021-12-16,4.458
